pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
1	1	20180919	2	2.43	1.0	2.0	1.0
1	2	20180918	2	2.43	1.0	2.0	1.0
2	2	20180917	1	2.43	1.0	2.0	1.0
2	1	20180915	2	2.29	1.33	2.0	1.0
1	2	20180914	2	2.29	1.33	1.0	1.0
2	2	20180913	2	2.38	0.5	2.0	0.5
2	2	20180912	2	2.38	0.5	2.5	0.5
2	2	20180911	1	2.38	0.5	2.0	0.5
2	1	20180910	1	2.57	0.67	2.0	1.0
1	1	20180908	1	3.0	0.5	3.0	0.5
1	1	20180907	3	3.2	0.8	3.0	1.0
1	3	20180906	2	3.0	1.0	3.0	1.0
3	2	20180905	1	2.5	1.25	2.5	1.5
2	1	20180904	2	3.0	1.0	3.0	1.0
1	2	20180903	3	3.0	1.0	2.0	1.0
2	3	20180901	4	3.0	1.0	2.0	1.0
3	4	20180831	3	2.83	0.75	2.0	0.5
4	3	20180830	1	2.83	0.75	2.5	0.5
3	1	20180829	2	2.67	1.0	2.5	1.0
1	2	20180828	2	2.43	1.0	2.0	1.0
2	2	20180827	3	2.38	0.5	2.0	0.5
2	3	20180825	1	2.38	0.5	2.0	0.5
3	1	20180824	1	2.14	1.67	2.0	2.0
1	1	20180823	2	2.14	1.67	2.0	2.0
1	2	20180822	1	2.14	1.67	2.0	2.0
2	1	20180821	2	2.57	0.67	2.0	0.0
1	2	20180820	1	2.57	0.67	2.0	0.0
2	1	20180818	1	3.0	0.5	2.5	0.0
1	1	20180817	1	2.83	0.75	2.0	0.5
1	1	20180816	2	3.0	0.5	2.0	0.5
1	2	20180815	1	3.0	0.5	2.0	0.5
2	1	20180814	1	3.4	0.6	2.0	1.0
1	1	20180813	3	3.75	0.83	3.5	1.0
1	3	20180811	3	3.5	1.0	3.0	1.0
3	3	20180810	3	3.5	1.0	3.0	1.0
3	3	20180809	3	2.8	1.2	3.0	1.0
3	3	20180808	2	2.5	1.25	2.0	1.5
3	2	20180807	2	2.33	1.5	2.0	1.5
